FeedbackID,UserID,FeatureID,Category,SentimentScore,Comment,Timestamp
FB3000045,U101794,F1098,Suggestion,3,Nice addition. Feels thoughtful.,2024-04-11 23:30:49
FB3000046,U101251,F1202,Confusing,2,Took a while to load but useful once it did.,2024-09-04 00:59:25
FB3000047,U106538,F1236,Confusing,5,Would love to see this in more languages.,2024-05-08 07:38:16
FB3000048,U105343,F1267,Confusing,1,The feature felt a bit clunky and slow.,2024-05-10 05:38:54
FB3000049,U106685,F1090,Positive,2,Could use better instructions or tooltips.,2024-01-06 01:39:40
FB3000050,U102633,F1284,Bug,4,Helped me focus on small goals each day.,2024-06-24 21:18:05
FB3000051,U107854,F1290,Suggestion,5,Love the dark mode — saved my eyes!,2024-08-01 12:45:44
FB3000052,U104989,F1035,Suggestion,1,Felt too overwhelming — too much info at once.,2024-06-17 14:25:47
FB3000053,U104276,F1076,UI/UX,1,The feature felt a bit clunky and slow.,2024-01-25 21:26:16
FB3000054,U102626,F1291,Suggestion,2,Could use better instructions or tooltips.,2024-09-24 20:42:13
FB3000055,U102638,F1065,Bug,2,Took a while to load but useful once it did.,2024-02-09 03:00:38
FB3000056,U106688,F1284,Confusing,4,Very interactive — I was surprised!,2024-08-18 14:09:04
FB3000057,U105302,F1184,Positive,3,Enjoyed using it — kept me motivated.,2024-02-25 14:42:05
FB3000058,U105698,F1067,UI/UX,2,Could use better instructions or tooltips.,2024-08-14 16:19:12
FB3000059,U105338,F1289,Suggestion,2,Could use better instructions or tooltips.,2024-07-07 15:19:29
FB3000060,U103546,F1205,Suggestion,5,Super helpful and intuitive — great job.,2024-12-22 12:44:47
FB3000061,U108701,F1035,Suggestion,4,Micro animations made it feel alive.,2024-05-06 02:00:29
FB3000062,U104173,F1099,Bug,2,Took a while to load but useful once it did.,2024-03-02 02:02:46
FB3000063,U106002,F1281,Positive,3,Enjoyed using it — kept me motivated.,2024-03-03 03:41:16
FB3000064,U104298,F1194,UI/UX,4,Helped me focus on small goals each day.,2024-05-29 17:09:40
FB3000065,U104467,F1095,UI/UX,2,Could use better instructions or tooltips.,2024-08-20 22:25:57
FB3000066,U105678,F1090,UI/UX,1,Text was hard to read on mobile.,2024-01-30 08:49:22
FB3000067,U109391,F1073,Confusing,4,Very interactive — I was surprised!,2024-03-26 15:54:38
FB3000068,U107065,F1298,Confusing,4,Animations made it more engaging.,2024-01-31 05:32:18
FB3000069,U107411,F1094,UI/UX,4,Micro animations made it feel alive.,2024-04-10 04:48:02
FB3000070,U107455,F1270,Positive,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-05-28 00:13:23
FB3000071,U100665,F1204,UI/UX,5,Would love to see this in more languages.,2024-05-12 15:40:19
FB3000072,U105381,F1231,Confusing,5,Love the dark mode — saved my eyes!,2024-06-16 03:07:38
FB3000073,U104882,F1108,Suggestion,5,Love the dark mode — saved my eyes!,2024-10-19 07:57:13
FB3000074,U106243,F1190,Suggestion,5,Would love to see this in more languages.,2024-09-11 16:08:07
FB3000075,U107705,F1249,Confusing,1,Text was hard to read on mobile.,2024-02-27 22:37:15
FB3000076,U106221,F1199,Suggestion,3,Nice addition. Feels thoughtful.,2024-12-18 20:43:55
FB3000077,U107979,F1222,Positive,2,Took a while to load but useful once it did.,2024-10-19 00:59:20
FB3000078,U107721,F1008,Suggestion,3,Nice addition. Feels thoughtful.,2024-06-29 21:35:13
FB3000079,U105083,F1290,Suggestion,3,Nice addition. Feels thoughtful.,2024-03-16 19:02:11
FB3000080,U109077,F1178,Positive,1,App kept freezing while using this feature.,2024-01-23 19:21:11
FB3000081,U100088,F1255,Suggestion,2,Could use better instructions or tooltips.,2024-02-29 16:13:25
FB3000082,U108658,F1172,Positive,2,Could use better instructions or tooltips.,2024-02-20 16:44:43
FB3000083,U105475,F1023,Bug,1,Felt too overwhelming — too much info at once.,2024-03-30 11:16:17
FB3000084,U106210,F1272,Confusing,4,Micro animations made it feel alive.,2024-11-28 04:36:04
FB3000085,U100595,F1115,UI/UX,4,Helped me focus on small goals each day.,2024-06-16 20:06:45
FB3000086,U106586,F1077,UI/UX,5,Loved how easy it was to navigate!,2024-06-28 10:09:24
FB3000087,U109723,F1260,Bug,3,"Really like the design, clean and focused.",2024-03-15 05:23:12
FB3000088,U104791,F1080,Positive,1,Text was hard to read on mobile.,2024-01-07 10:12:56
FB3000089,U100963,F1037,Suggestion,4,Very interactive — I was surprised!,2024-12-27 05:58:40
FB3000090,U106128,F1100,Bug,1,App kept freezing while using this feature.,2024-06-04 02:29:51
FB3000091,U107870,F1026,Bug,5,Would love to see this in more languages.,2024-11-15 15:48:30
FB3000092,U104289,F1104,UI/UX,5,Super helpful and intuitive — great job.,2024-04-02 00:33:00
FB3000093,U105699,F1077,Confusing,5,Super helpful and intuitive — great job.,2024-05-21 16:01:42
FB3000094,U109089,F1146,Positive,2,Took a while to load but useful once it did.,2024-04-04 01:33:17
FB3000095,U101225,F1147,Confusing,3,Nice addition. Feels thoughtful.,2024-07-17 09:14:29
FB3000096,U106517,F1243,UI/UX,3,Nice addition. Feels thoughtful.,2024-03-17 19:45:07
FB3000097,U105351,F1174,Suggestion,3,Enjoyed using it — kept me motivated.,2024-06-02 18:13:33
FB3000098,U108070,F1265,Suggestion,1,Too many clicks to get to the content.,2024-10-28 07:25:22
FB3000099,U101280,F1046,UI/UX,5,Loved how easy it was to navigate!,2024-03-20 10:01:53
FB3000100,U102924,F1206,Suggestion,4,Very interactive — I was surprised!,2024-01-05 09:50:25
FB3000101,U106054,F1139,Suggestion,1,Felt too overwhelming — too much info at once.,2024-02-09 10:40:24
FB3000102,U107360,F1150,UI/UX,4,Animations made it more engaging.,2024-04-20 10:39:58
FB3000103,U101744,F1220,Positive,5,Loved how easy it was to navigate!,2024-12-27 00:06:29
FB3000104,U102634,F1142,Confusing,1,Too many clicks to get to the content.,2024-06-24 06:23:53
FB3000105,U101199,F1168,Positive,5,Super helpful and intuitive — great job.,2024-05-13 05:01:25
FB3000106,U105875,F1114,UI/UX,4,Helped me focus on small goals each day.,2024-05-29 01:54:36
FB3000107,U102098,F1148,Positive,2,Could use better instructions or tooltips.,2024-01-18 19:52:20
FB3000108,U105311,F1089,Bug,5,Love the dark mode — saved my eyes!,2024-12-07 04:25:34
FB3000109,U104820,F1156,Positive,1,App kept freezing while using this feature.,2024-07-14 21:09:06
FB3000110,U101308,F1026,UI/UX,4,Micro animations made it feel alive.,2024-08-28 23:04:12
FB3000111,U101198,F1055,UI/UX,4,Animations made it more engaging.,2024-03-07 03:35:48
FB3000112,U105071,F1165,Confusing,3,Enjoyed using it — kept me motivated.,2024-09-01 13:38:59
FB3000113,U101128,F1251,Suggestion,3,Nice addition. Feels thoughtful.,2024-04-05 10:07:15
FB3000114,U102442,F1127,Bug,1,Text was hard to read on mobile.,2024-07-26 08:50:41
FB3000115,U103039,F1181,UI/UX,1,App kept freezing while using this feature.,2024-10-31 09:57:02
FB3000116,U109107,F1293,Suggestion,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-11-09 10:52:28
FB3000117,U102871,F1088,Bug,4,Helped me focus on small goals each day.,2024-11-07 06:21:56
FB3000118,U103546,F1294,Confusing,3,Enjoyed using it — kept me motivated.,2024-03-10 15:06:48
FB3000119,U100204,F1259,Suggestion,5,Super helpful and intuitive — great job.,2024-11-26 19:23:47
FB3000120,U102655,F1193,Confusing,4,Helped me focus on small goals each day.,2024-03-22 07:26:27
FB3000121,U106166,F1051,Positive,3,Nice addition. Feels thoughtful.,2024-10-04 02:16:31
FB3000122,U109059,F1125,UI/UX,4,Micro animations made it feel alive.,2024-03-01 16:01:24
FB3000123,U106296,F1085,UI/UX,5,Would love to see this in more languages.,2024-06-03 10:39:02
FB3000124,U101176,F1223,Suggestion,1,The feature felt a bit clunky and slow.,2024-01-04 20:10:32
FB3000125,U108514,F1059,UI/UX,4,Very interactive — I was surprised!,2024-02-06 05:16:23
FB3000126,U101955,F1060,UI/UX,5,Super helpful and intuitive — great job.,2024-01-02 06:28:30
FB3000127,U109727,F1087,Confusing,1,Felt too overwhelming — too much info at once.,2024-07-28 10:42:00
FB3000128,U105465,F1012,UI/UX,4,Helped me focus on small goals each day.,2024-06-09 01:02:36
FB3000129,U102316,F1059,Positive,4,Helped me focus on small goals each day.,2024-06-01 12:54:33
FB3000130,U109783,F1076,Bug,1,Text was hard to read on mobile.,2024-03-04 17:12:15
FB3000131,U102760,F1083,Suggestion,3,"Really like the design, clean and focused.",2024-03-04 18:08:38
FB3000132,U104324,F1104,UI/UX,2,Could use better instructions or tooltips.,2024-06-11 22:34:01
FB3000133,U108615,F1200,Suggestion,5,Love the dark mode — saved my eyes!,2024-11-28 05:50:21
FB3000134,U104837,F1045,Confusing,1,App kept freezing while using this feature.,2024-07-31 00:29:59
FB3000135,U108379,F1215,Suggestion,5,Would love to see this in more languages.,2024-06-23 17:00:58
FB3000136,U106460,F1280,Positive,1,App kept freezing while using this feature.,2024-01-19 18:02:21
FB3000137,U109925,F1146,Bug,3,"Really like the design, clean and focused.",2024-08-30 03:20:06
FB3000138,U103923,F1019,UI/UX,4,Helped me focus on small goals each day.,2024-07-13 08:04:46
FB3000139,U108799,F1240,Positive,1,Text was hard to read on mobile.,2024-09-09 10:51:03
FB3000140,U101232,F1009,UI/UX,1,Text was hard to read on mobile.,2024-05-26 17:51:03
FB3000141,U108758,F1038,UI/UX,5,Would love to see this in more languages.,2024-04-25 11:23:20
FB3000142,U101244,F1172,UI/UX,4,Animations made it more engaging.,2024-08-23 08:31:24
FB3000143,U108518,F1241,Positive,4,Very interactive — I was surprised!,2024-12-29 04:29:15
FB3000144,U105785,F1190,Positive,4,Very interactive — I was surprised!,2024-03-05 09:14:32
FB3000145,U108292,F1276,UI/UX,4,Helped me focus on small goals each day.,2024-12-23 17:50:29
FB3000146,U109015,F1281,Bug,2,Could use better instructions or tooltips.,2024-01-01 09:03:20
FB3000147,U102246,F1194,UI/UX,3,"Really like the design, clean and focused.",2024-09-30 19:03:53
FB3000148,U103384,F1131,Bug,5,Would love to see this in more languages.,2024-11-10 18:05:53
FB3000149,U105309,F1101,UI/UX,5,Love the dark mode — saved my eyes!,2024-01-13 18:26:54
FB3000150,U107439,F1215,Suggestion,5,Love the dark mode — saved my eyes!,2024-08-18 03:50:11
FB3000151,U101677,F1066,UI/UX,5,Would love to see this in more languages.,2024-02-07 18:12:53
FB3000152,U107608,F1034,UI/UX,3,"Really like the design, clean and focused.",2024-10-02 03:52:18
FB3000153,U101204,F1234,Suggestion,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-07-09 03:55:06
FB3000154,U105268,F1257,Positive,5,Super helpful and intuitive — great job.,2024-11-28 14:49:20
FB3000155,U102416,F1032,Confusing,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-01-23 12:31:33
FB3000156,U107016,F1134,Confusing,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-04-09 23:13:41
FB3000157,U100734,F1160,Confusing,4,Helped me focus on small goals each day.,2024-11-17 17:06:01
FB3000158,U107631,F1137,Positive,1,Didn’t understand what I was supposed to do.,2024-02-19 00:05:23
FB3000159,U103610,F1122,Bug,1,Didn’t understand what I was supposed to do.,2024-04-27 22:11:25
FB3000160,U108175,F1195,UI/UX,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-02-02 12:19:49
FB3000161,U106472,F1027,Confusing,1,Felt too overwhelming — too much info at once.,2024-02-19 14:45:04
FB3000162,U108188,F1238,Suggestion,1,Felt too overwhelming — too much info at once.,2024-10-20 11:39:06
FB3000163,U105335,F1032,Confusing,3,Nice addition. Feels thoughtful.,2024-10-23 06:39:15
FB3000164,U107266,F1036,Suggestion,1,Text was hard to read on mobile.,2024-03-31 07:11:21
FB3000165,U106191,F1252,Confusing,4,Animations made it more engaging.,2024-08-17 14:02:06
FB3000166,U102779,F1209,Positive,3,Enjoyed using it — kept me motivated.,2024-09-19 18:36:21
FB3000167,U103898,F1130,UI/UX,4,Micro animations made it feel alive.,2024-10-05 21:24:34
FB3000168,U107358,F1216,Suggestion,3,Nice addition. Feels thoughtful.,2024-03-22 18:38:55
FB3000169,U105588,F1275,Positive,3,"Really like the design, clean and focused.",2024-10-21 06:59:46
FB3000170,U100238,F1116,Suggestion,4,Helped me focus on small goals each day.,2024-06-06 08:47:31
FB3000171,U101116,F1280,Positive,1,Text was hard to read on mobile.,2024-05-10 19:32:24
FB3000172,U109998,F1060,Positive,4,Helped me focus on small goals each day.,2024-05-04 11:05:36
FB3000173,U100904,F1258,Confusing,2,Could use better instructions or tooltips.,2024-05-14 09:35:29
FB3000174,U107086,F1112,Bug,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-08-02 21:15:27
FB3000175,U109572,F1296,Confusing,3,Enjoyed using it — kept me motivated.,2024-03-25 01:11:55
FB3000176,U101934,F1143,UI/UX,3,Nice addition. Feels thoughtful.,2024-01-15 14:53:22
FB3000177,U106243,F1173,UI/UX,3,Enjoyed using it — kept me motivated.,2024-05-15 06:55:53
FB3000178,U107402,F1067,Positive,2,Could use better instructions or tooltips.,2024-05-16 03:23:41
FB3000179,U103725,F1280,Bug,1,Felt too overwhelming — too much info at once.,2024-03-22 05:55:12
FB3000180,U104395,F1241,Confusing,5,Loved how easy it was to navigate!,2024-12-08 09:05:23
FB3000181,U103437,F1267,Bug,4,Very interactive — I was surprised!,2024-05-20 13:25:59
FB3000182,U107192,F1119,Bug,3,Enjoyed using it — kept me motivated.,2024-01-16 22:29:52
FB3000183,U100579,F1196,Confusing,5,Would love to see this in more languages.,2024-10-05 23:39:19
FB3000184,U107717,F1288,Bug,4,Very interactive — I was surprised!,2024-08-09 17:18:27
FB3000185,U104780,F1147,Positive,3,Nice addition. Feels thoughtful.,2024-07-10 22:05:32
FB3000186,U109894,F1034,UI/UX,4,Very interactive — I was surprised!,2024-10-14 20:44:29
FB3000187,U105901,F1161,UI/UX,3,Enjoyed using it — kept me motivated.,2024-10-22 06:05:29
FB3000188,U101592,F1288,UI/UX,5,Love the dark mode — saved my eyes!,2024-08-11 15:27:27
FB3000189,U107995,F1204,Bug,4,Animations made it more engaging.,2024-06-22 03:34:08
FB3000190,U107423,F1278,UI/UX,5,Would love to see this in more languages.,2024-06-07 20:11:04
FB3000191,U103983,F1142,Suggestion,3,Nice addition. Feels thoughtful.,2024-02-12 17:32:54
FB3000192,U106177,F1251,Suggestion,4,Micro animations made it feel alive.,2024-04-04 06:57:05
FB3000193,U102773,F1223,Suggestion,3,Nice addition. Feels thoughtful.,2024-11-17 20:27:23
FB3000194,U106235,F1172,Confusing,3,Nice addition. Feels thoughtful.,2024-05-04 07:43:08
FB3000195,U101403,F1118,UI/UX,1,The feature felt a bit clunky and slow.,2024-12-12 10:33:36
FB3000196,U105625,F1015,Confusing,3,"Really like the design, clean and focused.",2024-10-23 11:28:26
FB3000197,U101718,F1032,Suggestion,5,Love the dark mode — saved my eyes!,2024-03-20 10:01:12
FB3000198,U107064,F1246,Positive,5,Love the dark mode — saved my eyes!,2024-09-07 11:40:00
FB3000199,U103647,F1244,Positive,1,App kept freezing while using this feature.,2024-04-06 05:59:31
FB3000200,U106400,F1120,Positive,1,App kept freezing while using this feature.,2024-08-14 22:52:36
FB3000201,U106277,F1016,UI/UX,3,Nice addition. Feels thoughtful.,2024-03-19 14:24:19
FB3000202,U104001,F1213,UI/UX,5,Would love to see this in more languages.,2024-08-12 19:02:43
FB3000203,U101062,F1127,Suggestion,3,Nice addition. Feels thoughtful.,2024-02-19 11:37:05
FB3000204,U106187,F1202,Confusing,4,Micro animations made it feel alive.,2024-06-03 19:36:10
FB3000205,U102876,F1241,Bug,4,Animations made it more engaging.,2024-10-08 09:31:32
FB3000206,U105214,F1012,UI/UX,3,"Really like the design, clean and focused.",2024-06-24 22:34:13
FB3000207,U106033,F1184,Confusing,5,Super helpful and intuitive — great job.,2024-01-01 16:14:20
FB3000208,U106099,F1082,Bug,5,Loved how easy it was to navigate!,2024-08-16 17:32:20
FB3000209,U102197,F1080,Positive,5,Love the dark mode — saved my eyes!,2024-11-23 05:25:11
FB3000210,U104187,F1108,Positive,4,Micro animations made it feel alive.,2024-08-12 01:38:36
FB3000211,U100784,F1192,Confusing,2,Could use better instructions or tooltips.,2024-04-03 19:49:56
FB3000212,U103480,F1188,Suggestion,2,Could use better instructions or tooltips.,2024-11-15 08:06:29
FB3000213,U104240,F1269,Suggestion,1,App kept freezing while using this feature.,2024-08-19 15:04:55
FB3000214,U105691,F1045,UI/UX,5,Loved how easy it was to navigate!,2024-01-02 05:51:13
FB3000215,U107339,F1224,Confusing,3,Nice addition. Feels thoughtful.,2024-07-15 12:43:43
FB3000216,U109922,F1200,Suggestion,1,Too many clicks to get to the content.,2024-12-21 00:41:41
FB3000217,U100306,F1111,Suggestion,3,"Really like the design, clean and focused.",2024-06-23 16:13:23
FB3000218,U103792,F1003,Positive,1,Didn’t understand what I was supposed to do.,2024-12-30 13:30:06
FB3000219,U109201,F1023,UI/UX,1,Didn’t understand what I was supposed to do.,2024-01-26 11:56:38
FB3000220,U102607,F1257,Confusing,1,Didn’t understand what I was supposed to do.,2024-07-25 10:32:38
FB3000221,U100880,F1291,Confusing,3,Nice addition. Feels thoughtful.,2024-06-27 13:20:21
FB3000222,U103749,F1094,Suggestion,4,Animations made it more engaging.,2024-11-15 20:53:32
FB3000223,U105785,F1222,UI/UX,3,Nice addition. Feels thoughtful.,2024-05-28 07:20:37
FB3000224,U100878,F1254,Positive,2,Could use better instructions or tooltips.,2024-01-26 12:00:44
FB3000225,U100278,F1248,Positive,5,Super helpful and intuitive — great job.,2024-03-11 07:15:54
FB3000226,U104319,F1255,Confusing,5,Would love to see this in more languages.,2024-08-07 20:07:46
FB3000227,U107734,F1161,Positive,4,Very interactive — I was surprised!,2024-06-05 04:17:01
FB3000228,U109746,F1282,Positive,5,Would love to see this in more languages.,2024-10-26 20:14:59
FB3000229,U108596,F1174,Bug,1,Text was hard to read on mobile.,2024-03-31 08:01:47
FB3000230,U103508,F1169,Bug,3,Enjoyed using it — kept me motivated.,2024-09-25 00:38:15
FB3000231,U108654,F1097,Positive,2,Could use better instructions or tooltips.,2024-09-29 19:18:10
FB3000232,U101223,F1253,Positive,3,"Really like the design, clean and focused.",2024-07-19 21:50:06
FB3000233,U107571,F1143,Bug,2,Could use better instructions or tooltips.,2024-09-30 04:02:46
FB3000234,U106894,F1285,UI/UX,3,Enjoyed using it — kept me motivated.,2024-04-09 15:27:02
FB3000235,U105927,F1098,Positive,5,Would love to see this in more languages.,2024-08-05 15:46:19
FB3000236,U103724,F1140,Confusing,3,Nice addition. Feels thoughtful.,2024-05-16 10:54:27
FB3000237,U108493,F1279,UI/UX,5,Loved how easy it was to navigate!,2024-07-09 06:18:12
FB3000238,U107583,F1264,UI/UX,4,Helped me focus on small goals each day.,2024-07-08 00:57:13
FB3000239,U107624,F1279,Positive,1,The feature felt a bit clunky and slow.,2024-01-15 21:39:13
FB3000240,U104394,F1100,Positive,5,Loved how easy it was to navigate!,2024-06-29 02:20:53
FB3000241,U106495,F1132,UI/UX,1,Felt too overwhelming — too much info at once.,2024-04-24 17:12:27
FB3000242,U101885,F1179,Positive,4,Helped me focus on small goals each day.,2024-10-06 17:37:00
FB3000243,U104783,F1240,Bug,5,Love the dark mode — saved my eyes!,2024-11-02 00:49:30
FB3000244,U107607,F1274,UI/UX,5,Loved how easy it was to navigate!,2024-06-27 11:34:40
FB3000245,U104358,F1257,Suggestion,1,Didn’t understand what I was supposed to do.,2024-01-20 16:30:36
FB3000246,U100039,F1241,Positive,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-09-17 01:32:15
FB3000247,U102353,F1080,Bug,3,Nice addition. Feels thoughtful.,2024-02-21 02:18:48
FB3000248,U106968,F1218,Positive,3,"Really like the design, clean and focused.",2024-05-05 09:44:56
FB3000249,U108875,F1133,Confusing,4,Very interactive — I was surprised!,2024-07-24 22:57:12
FB3000250,U109850,F1136,UI/UX,4,Animations made it more engaging.,2024-11-20 13:13:12
FB3000251,U106517,F1078,UI/UX,3,Enjoyed using it — kept me motivated.,2024-02-29 13:52:18
FB3000252,U104449,F1103,Confusing,3,"Really like the design, clean and focused.",2024-06-10 21:25:07
FB3000253,U101685,F1273,UI/UX,5,Loved how easy it was to navigate!,2024-06-14 22:54:41
FB3000254,U103934,F1119,Confusing,1,Too many clicks to get to the content.,2024-12-18 00:05:52
FB3000255,U108351,F1274,Bug,1,Didn’t understand what I was supposed to do.,2024-12-01 13:26:38
FB3000256,U108625,F1119,Positive,1,Too many clicks to get to the content.,2024-11-13 07:44:24
FB3000257,U103272,F1038,Positive,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-05-19 10:43:39
FB3000258,U103408,F1175,Confusing,4,Animations made it more engaging.,2024-01-22 05:28:06
FB3000259,U100114,F1264,Suggestion,4,Animations made it more engaging.,2024-03-30 15:26:27
FB3000260,U109923,F1130,Suggestion,5,Super helpful and intuitive — great job.,2024-11-18 21:13:39
FB3000261,U103472,F1251,Confusing,1,The feature felt a bit clunky and slow.,2024-05-21 22:55:50
FB3000262,U105489,F1146,Suggestion,5,Love the dark mode — saved my eyes!,2024-09-14 08:46:54
FB3000263,U102484,F1047,Positive,3,Enjoyed using it — kept me motivated.,2024-11-10 20:26:37
FB3000264,U102235,F1164,UI/UX,2,Could use better instructions or tooltips.,2024-10-05 04:48:45
FB3000265,U104999,F1263,UI/UX,3,"Really like the design, clean and focused.",2024-11-24 15:10:26
FB3000266,U103461,F1298,Confusing,4,Helped me focus on small goals each day.,2024-09-08 05:55:04
FB3000267,U103391,F1020,UI/UX,4,Micro animations made it feel alive.,2024-09-10 18:20:24
FB3000268,U109483,F1161,Positive,3,"Really like the design, clean and focused.",2024-09-12 04:01:53
FB3000269,U103168,F1131,UI/UX,2,Could use better instructions or tooltips.,2024-05-16 01:09:11
FB3000270,U102993,F1181,Positive,1,App kept freezing while using this feature.,2024-08-15 11:32:57
FB3000271,U109230,F1116,Suggestion,5,Love the dark mode — saved my eyes!,2024-06-24 21:00:38
FB3000272,U106278,F1164,Suggestion,4,Animations made it more engaging.,2024-03-06 23:54:19
FB3000273,U108246,F1021,Confusing,5,Loved how easy it was to navigate!,2024-05-13 06:24:26
FB3000274,U109407,F1232,Bug,3,Nice addition. Feels thoughtful.,2024-12-24 09:52:34
FB3000275,U104384,F1068,UI/UX,4,Very interactive — I was surprised!,2024-11-14 07:34:33
FB3000276,U108304,F1235,UI/UX,3,Nice addition. Feels thoughtful.,2024-07-13 04:18:36
FB3000277,U105342,F1204,Positive,3,Nice addition. Feels thoughtful.,2024-11-18 01:17:24
FB3000278,U101199,F1238,Bug,1,Too many clicks to get to the content.,2024-02-04 07:54:52
FB3000279,U100794,F1254,UI/UX,3,Nice addition. Feels thoughtful.,2024-03-08 08:36:54
FB3000280,U107555,F1203,Confusing,1,App kept freezing while using this feature.,2024-02-26 12:54:02
FB3000281,U100850,F1164,Positive,3,Enjoyed using it — kept me motivated.,2024-06-26 11:57:04
FB3000282,U100927,F1039,Positive,2,Took a while to load but useful once it did.,2024-02-03 04:58:15
FB3000283,U100765,F1196,Bug,3,Enjoyed using it — kept me motivated.,2024-02-18 18:51:08
FB3000284,U101329,F1156,Suggestion,4,Animations made it more engaging.,2024-06-03 09:56:17
